symbol,direction,signal_time,entry_price,eval_time,eval_price,pnl_pct,result,exit_reason
PNUT-USDT-SWAP,LONG,2026-08-20T22:51:41.136397+00:00,0.05176,2026-08-21T07:33:15.427877+00:00,0.0532,0.02782,WIN,TIME_EXIT
MON-USDT-SWAP,LONG,2026-08-20T22:51:41.136397+00:00,0.02571,2026-08-21T07:33:15.427877+00:00,0.02789,0.08479,WIN,TIME_EXIT
BEAT-USDT-SWAP,LONG,2026-08-20T23:17:07.316718+00:00,0.1367,2026-08-20T23:55:59.409756+00:00,0.1341,-0.01902,LOSS,STOP_LOSS
GRASS-USDT-SWAP,LONG,2026-08-21T00:45:14.890335+00:00,0.3146,2026-08-21T04:17:13.926233+00:00,0.3093,-0.01685,LOSS,STOP_LOSS
MMT-USDT-SWAP,LONG,2026-08-21T00:45:14.890335+00:00,0.1761,2026-08-21T09:03:42.510518+00:00,0.1793,0.01817,WIN,TIME_EXIT
APR-USDT-SWAP,LONG,2026-08-21T02:18:06.772534+00:00,0.1846,2026-08-21T10:42:15.306366+00:00,0.1931,0.04605,WIN,TIME_EXIT
BOME-USDT-SWAP,LONG,2026-08-21T04:08:45.211598+00:00,0.0011582,2026-08-21T13:03:30.871194+00:00,0.0012868,0.11103,WIN,TIME_EXIT
UB-USDT-SWAP,SHORT,2026-08-21T04:08:45.211598+00:00,0.11572,2026-08-21T11:46:22.665013+00:00,0.117,-0.01106,LOSS,STOP_LOSS
HOME-USDT-SWAP,SHORT,2026-08-21T08:03:44.387766+00:00,0.006289,2026-08-21T11:46:22.665013+00:00,0.006368,-0.01256,LOSS,STOP_LOSS
ZAMA-USDT-SWAP,SHORT,2026-08-21T08:03:44.387766+00:00,0.04649,2026-08-21T10:08:31.690534+00:00,0.04717,-0.01463,LOSS,STOP_LOSS
LDO-USDT-SWAP,SHORT,2026-08-21T08:55:13.419644+00:00,0.36,2026-08-21T11:11:06.011657+00:00,0.364,-0.01111,LOSS,STOP_LOSS
PNUT-USDT-SWAP,LONG,2026-08-21T09:27:10.599575+00:00,0.05262,2026-08-21T17:38:49.983111+00:00,0.0539,0.02433,WIN,TIME_EXIT
DASH-USDT-SWAP,LONG,2026-08-21T09:27:10.599575+00:00,34.48,2026-08-21T17:38:49.983111+00:00,35.3,0.02378,WIN,TIME_EXIT
BOME-USDT-SWAP,LONG,2026-08-21T09:27:10.599575+00:00,0.001277,2026-08-21T16:31:19.692461+00:00,0.0012633,-0.01073,LOSS,STOP_LOSS
HYPE-USDT-SWAP,LONG,2026-08-21T09:27:10.599575+00:00,73.875,2026-08-21T17:38:49.983111+00:00,75.369,0.02022,WIN,TIME_EXIT
JTO-USDT-SWAP,LONG,2026-08-21T09:27:10.599575+00:00,0.5898,2026-08-21T17:38:49.983111+00:00,0.6152,0.04307,WIN,TIME_EXIT
LIT-USDT-SWAP,LONG,2026-08-21T09:27:10.599575+00:00,2.7258,2026-08-21T17:38:49.983111+00:00,3.034,0.11307,WIN,TIME_EXIT
MOODENG-USDT-SWAP,LONG,2026-08-21T09:27:10.599575+00:00,0.04544,2026-08-21T17:38:49.983111+00:00,0.04786,0.05326,WIN,TIME_EXIT
ORDI-USDT-SWAP,LONG,2026-08-21T09:27:10.599575+00:00,4.368,2026-08-21T17:38:49.983111+00:00,4.401,0.00755,WIN,TIME_EXIT
MON-USDT-SWAP,LONG,2026-08-21T09:59:33.205321+00:00,0.02708,2026-08-21T18:06:49.157482+00:00,0.02789,0.02991,WIN,TIME_EXIT
LDO-USDT-SWAP,LONG,2026-08-21T09:59:33.205321+00:00,0.3564,2026-08-21T18:06:49.157482+00:00,0.3632,0.01908,WIN,TIME_EXIT
PEOPLE-USDT-SWAP,LONG,2026-08-21T10:33:24.618906+00:00,0.011192,2026-08-21T18:40:36.266790+00:00,0.011605,0.03690,WIN,TIME_EXIT
AEON-USDT-SWAP,LONG,2026-08-21T11:02:00.529607+00:00,0.07322,2026-08-21T18:40:36.266790+00:00,0.07185,-0.01871,LOSS,STOP_LOSS
PIEVERSE-USDT-SWAP,LONG,2026-08-21T11:37:46.798620+00:00,1.0174,2026-08-21T19:45:03.183023+00:00,1.1034,0.08453,WIN,TIME_EXIT
ONDO-USDT-SWAP,LONG,2026-08-21T11:37:46.798620+00:00,0.3732,2026-08-21T19:45:03.183023+00:00,0.3777,0.01206,WIN,TIME_EXIT
PENGU-USDT-SWAP,LONG,2026-08-21T11:37:46.798620+00:00,0.007668,2026-08-21T19:45:03.183023+00:00,0.008254,0.07642,WIN,TIME_EXIT
MSTR-USDT-SWAP,LONG,2026-08-21T11:59:34.135566+00:00,120.26,2026-08-21T14:23:56.830639+00:00,117.79,-0.02054,LOSS,STOP_LOSS
PUMP-USDT-SWAP,LONG,2026-08-21T12:53:27.273773+00:00,0.004005,2026-08-21T18:40:36.266790+00:00,0.00396,-0.01124,LOSS,STOP_LOSS
RIVER-USDT-SWAP,LONG,2026-08-21T12:53:27.273773+00:00,3.006,2026-08-21T17:05:46.308097+00:00,2.905,-0.03360,LOSS,STOP_LOSS
RE-USDT-SWAP,LONG,2026-08-21T12:53:27.273773+00:00,0.51198,2026-08-21T14:23:56.830639+00:00,0.49494,-0.03328,LOSS,STOP_LOSS
AMD-USDT-SWAP,LONG,2026-08-21T13:38:05.039860+00:00,468.72,2026-08-21T21:48:23.791093+00:00,472.38,0.00781,WIN,TIME_EXIT
AAOI-USDT-SWAP,LONG,2026-08-21T13:38:05.039860+00:00,127.81,2026-08-21T14:23:56.830639+00:00,125.5,-0.01807,LOSS,STOP_LOSS
CFX-USDT-SWAP,LONG,2026-08-21T13:38:05.039860+00:00,0.04912,2026-08-21T21:48:23.791093+00:00,0.05012,0.02036,WIN,TIME_EXIT
HYPE-USDT-SWAP,LONG,2026-08-21T14:17:35.649994+00:00,75.395,2026-08-21T19:45:03.183023+00:00,74.466,-0.01232,LOSS,STOP_LOSS
BASED-USDT-SWAP,LONG,2026-08-21T15:46:06.672794+00:00,0.08957,2026-08-21T23:49:13.135053+00:00,0.09089,0.01474,WIN,TIME_EXIT
PENGU-USDT-SWAP,LONG,2026-08-21T16:21:26.470678+00:00,0.00815,2026-08-22T01:16:43.823956+00:00,0.008947,0.09779,WIN,TIME_EXIT
SOXL-USDT-SWAP,LONG,2026-08-21T16:21:26.470678+00:00,119.12,2026-08-22T01:16:43.823956+00:00,119.48,0.00302,FLAT,TIME_EXIT
TRUMP-USDT-SWAP,LONG,2026-08-21T16:58:58.309859+00:00,1.848,2026-08-21T18:40:36.266790+00:00,1.827,-0.01136,LOSS,STOP_LOSS
INTC-USDT-SWAP,LONG,2026-08-21T16:58:58.309859+00:00,90.14,2026-08-22T01:16:43.823956+00:00,89.98,-0.00178,FLAT,TIME_EXIT
BICO-USDT-SWAP,SHORT,2026-08-21T16:58:58.309859+00:00,0.02158,2026-08-21T19:19:40.340859+00:00,0.02221,-0.02919,LOSS,STOP_LOSS
ONDO-USDT-SWAP,LONG,2026-08-21T17:29:49.751768+00:00,0.3897,2026-08-21T19:19:40.340859+00:00,0.3766,-0.03362,LOSS,STOP_LOSS
BSB-USDT-SWAP,LONG,2026-08-21T17:29:49.751768+00:00,0.1292,2026-08-21T19:19:40.340859+00:00,0.1274,-0.01393,LOSS,STOP_LOSS
APR-USDT-SWAP,LONG,2026-08-21T17:29:49.751768+00:00,0.2202,2026-08-21T19:45:03.183023+00:00,0.2179,-0.01045,LOSS,STOP_LOSS
RE-USDT-SWAP,LONG,2026-08-21T17:29:49.751768+00:00,0.51185,2026-08-22T02:28:53.381632+00:00,0.58932,0.15135,WIN,TIME_EXIT
ROBO-USDT-SWAP,LONG,2026-08-21T17:29:49.751768+00:00,0.01724,2026-08-21T20:02:16.875949+00:00,0.01694,-0.01740,LOSS,STOP_LOSS
ETHFI-USDT-SWAP,LONG,2026-08-21T17:57:19.014601+00:00,0.5791,2026-08-21T19:19:40.340859+00:00,0.568,-0.01917,LOSS,STOP_LOSS
CBRS-USDT-SWAP,LONG,2026-08-21T18:32:02.249089+00:00,198.41,2026-08-21T20:02:16.875949+00:00,196.34,-0.01043,LOSS,STOP_LOSS
SNXX-USDT-SWAP,LONG,2026-08-21T18:32:02.249089+00:00,15.05,2026-08-21T23:24:01.327999+00:00,14.88,-0.01130,LOSS,STOP_LOSS
BONK-USDT-SWAP,LONG,2026-08-21T19:12:56.435516+00:00,2.956e-06,2026-08-22T03:19:40.706116+00:00,3.261e-06,0.10318,WIN,TIME_EXIT
CFX-USDT-SWAP,LONG,2026-08-21T19:12:56.435516+00:00,0.04893,2026-08-22T03:19:40.706116+00:00,0.05118,0.04598,WIN,TIME_EXIT
GALA-USDT-SWAP,LONG,2026-08-21T19:12:56.435516+00:00,0.002089,2026-08-21T19:45:03.183023+00:00,0.002063,-0.01245,LOSS,STOP_LOSS
BEAT-USDT-SWAP,LONG,2026-08-21T19:55:19.063510+00:00,0.153,2026-08-21T20:24:35.832380+00:00,0.1508,-0.01438,LOSS,STOP_LOSS
KAITO-USDT-SWAP,SHORT,2026-08-21T21:57:38.057201+00:00,0.3843,2026-08-21T22:28:48.203118+00:00,0.3885,-0.01093,LOSS,STOP_LOSS
HOME-USDT-SWAP,SHORT,2026-08-21T22:21:32.566654+00:00,0.006435,2026-08-22T01:16:43.823956+00:00,0.006544,-0.01694,LOSS,STOP_LOSS
ENA-USDT-SWAP,LONG,2026-08-21T22:21:32.566654+00:00,0.14222,2026-08-22T06:30:33.614849+00:00,0.14968,0.05245,WIN,TIME_EXIT
ETHFI-USDT-SWAP,LONG,2026-08-21T23:40:35.946043+00:00,0.6029,2026-08-22T05:31:14.789567+00:00,0.581,-0.03632,LOSS,STOP_LOSS
FARTCOIN-USDT-SWAP,LONG,2026-08-21T23:40:35.946043+00:00,0.195,2026-08-22T05:59:06.266367+00:00,0.1886,-0.03282,LOSS,STOP_LOSS
WLD-USDT-SWAP,LONG,2026-08-21T23:40:35.946043+00:00,0.4005,2026-08-22T07:50:29.790529+00:00,0.4139,0.03346,WIN,TIME_EXIT
XLM-USDT-SWAP,LONG,2026-08-21T23:57:53.146237+00:00,0.20047,2026-08-22T08:09:56.007261+00:00,0.2069,0.03207,WIN,TIME_EXIT
PEPE-USDT-SWAP,LONG,2026-08-22T01:07:51.617748+00:00,4.091e-06,2026-08-22T05:31:14.789567+00:00,4.01e-06,-0.01980,LOSS,STOP_LOSS
BEAT-USDT-SWAP,LONG,2026-08-22T02:20:04.306353+00:00,0.1585,2026-08-22T06:30:33.614849+00:00,0.1554,-0.01956,LOSS,STOP_LOSS
